C0027497,Nausea,84.58%
C0018681,Headache,78.34%
C0011603,Dermatitis,76.76%
C0015230,Rash,76.18%
C0042963,Vomiting,76.04%
C0012833,Dizziness,72.74%
C0011991,Diarrhoea,68.65%
C0033774,Pruritus,66.28%
C0004093,Asthenia,63.85%
C0020517,Hypersensitivity,63.13%
C0000737,Abdominal pain,57.96%
C0042109,Urticaria,55.88%
C0687713,Gastrointestinal pain,54.81%
C0015967,Body temperature increased,54.02%
C0017178,Gastrointestinal disorder,52.22%
C0030193,Pain,52.01%
C1443060,Feeling abnormal,51.43%
C0015672,Fatigue,51.22%
C0009806,Constipation,49.28%
C0013404,Dyspnoea,49.28%
C0013395,Dyspepsia,49.21%
C0948594,Musculoskeletal discomfort,48.64%
C0232462,Decreased appetite,48.57%
C0917801,Insomnia,47.49%
C2830004,Somnolence,47.13%
C0020649,Hypotension,46.77%
C0030554,Paraesthesia,45.70%
C0037274,Skin disorder,44.84%
C0027765,Nervous system disorder,44.05%
C0002792,Anaphylactic shock,43.97%
C0020458,Hyperhidrosis,42.40%
C0040034,Thrombocytopenia,42.40%
C0003123,Anorexia,42.25%
C0009450,Infection,42.18%
C0036974,Shock,41.82%
C0039231,Tachycardia,41.68%
C0178298,Unspecified disorder of skin and subcutaneous tissue,41.25%
C0003862,Arthralgia,41.10%
C0013604,Oedema,40.53%
C0010200,Cough,39.96%
C0231528,Myalgia,39.89%
C0020538,Hypertension,39.81%
C0234215,Discomfort,39.24%
C0043352,Dry mouth,38.95%
C0008031,Chest pain,38.74%
C0003467,Anxiety,38.59%
C0009676,Confusional state,38.52%
C0041657,Loss of consciousness,37.37%
C0002994,Angioedema,37.30%
C0036572,Convulsion,36.51%
C0002871,Anaemia,36.01%
C0023530,Leukopenia,35.94%
C0030252,Palpitations,35.87%
C0042571,Vertigo,35.72%
C0039070,Syncope,35.65%
C0231218,Malaise,35.22%
C0004604,Back pain,35.08%
C2047937,Ill-defined disorder,34.22%
C0041834,Erythema,34.07%
C0037763,Muscle spasms,33.86%
C0085631,Agitation,33.50%
C0162429,Malnutrition,33.00%
C0040822,Tremor,32.71%
C0004936,Mental disorder,32.35%
C0344232,Vision blurred,32.35%
C0042373,Angiopathy,32.21%
C0013378,Dysgeusia,31.85%
C0025061,Mediastinal disorder,31.85%
C0021053,Immune system disorder,31.56%
C0016204,Flatulence,31.49%
C0002170,Alopecia,31.35%
C0085593,Chills,30.99%
C0027769,Nervousness,30.92%
C0233494,Tension,30.56%
C0016382,Flushing,29.91%
C0018799,Cardiac disorder,29.12%
C0085649,Oedema peripheral,28.91%
C0003811,Arrhythmia,28.84%
C0015397,Eye disorder,28.62%
C0009782,Connective tissue disorder,28.34%
C0040264,Tinnitus,27.83%
C0014742,Erythema multiforme,27.55%
C0041969,Urethral disorder,27.26%
C3665347,Visual impairment,27.19%
C0019080,Haemorrhage,26.97%
C0031350,Pharyngitis,26.97%
C0042075,Urinary tract disorder,26.97%
C0518015,Haemoglobin,26.83%
C0035455,Rhinitis,26.69%
C0019158,Hepatitis,25.90%
C0428977,Bradycardia,25.47%
C0020580,Hypoaesthesia,25.39%
C0037199,Sinusitis,25.39%
C0014591,Epistaxis,24.89%
C0042029,Urinary tract infection,24.82%
C0851341,Infestation NOS,24.46%
C1384353,Infestation,24.46%
C0267792,Hepatobiliary disease,24.32%
C0018524,Hallucination,24.25%
C0851353,Blood and lymphatic system disorders,24.18%
C0031117,Neuropathy peripheral,23.89%
C0018965,Haematuria,23.82%
C0032285,Pneumonia,23.60%
C0027051,Myocardial infarction,23.53%
C0948089,Acute coronary syndrome,23.53%
C0001824,Agranulocytosis,23.46%
C0038362,Stomatitis,23.39%
C0009763,Conjunctivitis,23.31%
C0020456,Hyperglycaemia,23.31%
C0043094,Weight increased,23.31%
C0035078,Renal failure,23.24%
C0038990,Sweating,23.17%
C0041912,Upper respiratory tract infection,23.10%
C0022346,Jaundice,23.03%
C0011570,Depression,22.81%
C0038325,Stevens-Johnson syndrome,22.67%
C0043096,Weight decreased,22.45%
C0030305,Pancreatitis,22.31%
C0027947,Neutropenia,22.02%
C0162830,Photosensitivity reaction,21.66%
C0006277,Bronchitis,21.59%
C0013144,Drowsiness,21.45%
